2019-03-01 13:20:18,565 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 42482.
2019-03-01 13:20:18,565 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 42822.
2019-03-01 13:20:18,565 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 43364.
2019-03-01 13:20:18,566 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 43385.
2019-03-01 13:20:18,566 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 43386.
2019-03-01 13:20:18,566 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 43387.
2019-03-01 13:20:18,567 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 43388.
2019-03-01 13:20:18,567 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 44253.
2019-03-01 13:20:18,567 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 44751.
2019-03-01 13:20:18,567 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45087.
2019-03-01 13:20:18,567 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45473.
2019-03-01 13:20:18,568 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45475.
2019-03-01 13:20:18,568 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45701.
2019-03-01 13:20:18,568 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45930.
2019-03-01 13:20:18,568 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45931.
2019-03-01 13:20:18,569 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45950.
2019-03-01 13:20:18,569 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 45951.
2019-03-01 13:20:18,569 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 46524.
2019-03-01 13:20:18,569 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 46567.
2019-03-01 13:20:18,569 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 46568.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 46581.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 46678.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 46765.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 47607.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 47926.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 48489.
2019-03-01 13:20:18,570 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 48510.
2019-03-01 13:20:18,571 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 49060.
2019-03-01 13:20:18,571 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 49061.
2019-03-01 13:20:18,571 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 50290.
2019-03-01 13:20:18,571 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 50409.
2019-03-01 13:20:18,571 mylog [DEBUG] [src/MyTask.cc , statistic , 90] num: 50743.
2019-03-01 13:20:22,006 mylog [DEBUG] [src/Socket.cc , ~Socket , 30] Socket::~Socket()
2019-03-01 13:22:28,788 mylog [INFO] [src/SpellCorrectServer.cc , onMessage , 54] server receive: world

